rank,name,country_name,country_id,opponent_name,opponent_country_name,opponent_country_id,date,tournament,level,bestOf,surface,indoor,speed,round,score,winner,value,outcome
644,Marinko Matosevic,Australia,AUS,Alex Bogomolov Jr,Russian Federation,RUS,27/02/2012,Delray Beach,B,3,H,FAUX,41,R16,4-6 6-1 6-3,VRAI,11,
644,Matthew Ebden,Australia,AUS,Gilles Muller,Luxembourg,LUX,16/07/2012,Atlanta,B,3,H,FAUX,56,QF,6-4 6-4,FAUX,11,
644,Matthew Ebden,Australia,AUS,Tatsuma Ito,Japan,JPN,27/08/2012,US Open,G,5,H,FAUX,60,R128,7-6(9) 6-3 6-2,VRAI,11,
644,Matthias Bachinger,Germany,GER,Joao Sousa,Portugal,POR,09/07/2012,Umag,B,3,C,FAUX,26,R32,6-7(5) 6-1 7-6(6),VRAI,11,
644,Matthias Bachinger,Germany,GER,Marcos Baghdatis,Cyprus,CYP,13/02/2012,Rotterdam,A,3,H,VRAI,54,R32,7-6(2) 6-2,FAUX,11,
644,Michael Llodra,France,FRA,Ernests Gulbis,Latvia,LAT,16/01/2012,Australian Open,G,5,H,FAUX,46,R128,2-6 6-1 6-2 6-2,VRAI,11,
644,Michael Llodra,France,FRA,Philipp Kohlschreiber,Germany,GER,27/08/2012,US Open,G,5,H,FAUX,60,R128,7-6(2) 4-6 7-6(4) 6-1,FAUX,11,
644,Milos Raonic,Canada,CAN,Sergiy Stakhovsky,Ukraine,UKR,20/02/2012,Memphis,A,3,H,VRAI,63,R16,6-4 6-4,VRAI,11,
644,Nicolas Almagro,Spain,ESP,Santiago Giraldo,Colombia,COL,06/05/2012,Madrid Masters,M,3,C,FAUX,67,R64,6-7(5) 6-3 6-3,VRAI,11,
644,Nicolas Almagro,Spain,ESP,Brian Baker,United States,USA,20/05/2012,Nice,B,3,C,FAUX,39,F,6-3 6-2,VRAI,11,
644,Nicolas Almagro,Spain,ESP,Lleyton Hewitt,Australia,AUS,15/10/2012,Stockholm,B,3,H,VRAI,63,QF,6-1 6-4,VRAI,11,
644,Nicolas Almagro,Spain,ESP,Santiago Giraldo,Colombia,COL,09/01/2012,Auckland,B,3,H,FAUX,52,R16,6-4 6-2,VRAI,11,
644,Novak Djokovic,Serbia,SRB,Fabio Fognini,Italy,ITA,25/07/2012,London Olympics,O,3,G,FAUX,87,R64,6-7(7) 6-2 6-2,VRAI,11,
644,Novak Djokovic,Serbia,SRB,Andy Murray,United Kingdom,GBR,16/01/2012,Australian Open,G,5,H,FAUX,46,SF,6-3 3-6 6-7(4) 6-1 7-5,VRAI,11,
644,Paul Henri Mathieu,France,FRA,Feliciano Lopez,Spain,ESP,15/10/2012,Stockholm,B,3,H,VRAI,63,R32,7-6(5) 6-7(4) 6-2,FAUX,11,
644,Paul Henri Mathieu,France,FRA,Jeremy Chardy,France,FRA,18/06/2012,Eastbourne,B,3,G,FAUX,53,R32,7-5 6-7(5) 7-6(4),FAUX,11,
644,Philipp Kohlschreiber,Germany,GER,Matthew Ebden,Australia,AUS,27/05/2012,Roland Garros,G,5,C,FAUX,40,R128,6-4 6-4 7-6(4),VRAI,11,
644,Philipp Kohlschreiber,Germany,GER,Olivier Rochus,Belgium,BEL,30/01/2012,Montpellier,B,3,H,VRAI,76,R32,6-1 6-4,VRAI,11,
644,Philipp Kohlschreiber,Germany,GER,Tomas Berdych,Czech Republic,CZE,30/01/2012,Montpellier,B,3,H,VRAI,76,SF,6-3 6-4,FAUX,11,
644,Philipp Kohlschreiber,Germany,GER,Lukasz Kubot,Poland,POL,11/06/2012,Halle,B,3,G,FAUX,89,R16,6-7(5) 6-1 6-3,VRAI,11,
644,Radek Stepanek,Czech Republic,CZE,Brian Baker,United States,USA,22/10/2012,Basel,A,3,H,VRAI,71,R32,2-6 7-6(5) 6-3,FAUX,11,
644,Robin Haase,Netherlands,NED,Alex Bogomolov Jr,Russian Federation,RUS,09/01/2012,Sydney,B,3,H,FAUX,56,R32,6-4 1-6 6-4,FAUX,11,
644,Roger Federer,Switzerland,SUI,Rafael Nadal,Spain,ESP,16/01/2012,Australian Open,G,5,H,FAUX,46,SF,6-7(5) 6-2 7-6(5) 6-4,FAUX,11,
644,Roger Federer,Switzerland,SUI,Juan Martin Del Potro,Argentina,ARG,27/05/2012,Roland Garros,G,5,C,FAUX,40,QF,3-6 6-7(4) 6-2 6-0 6-3,VRAI,11,
644,Roger Federer,Switzerland,SUI,Andy Roddick,United States,USA,21/03/2012,Miami Masters,M,3,H,FAUX,51,R32,7-6(4) 1-6 6-4,FAUX,11,
644,Roger Federer,Switzerland,SUI,Juan Martin Del Potro,Argentina,ARG,27/02/2012,Dubai,A,3,H,FAUX,69,SF,7-6(5) 7-6(6),VRAI,11,
644,Roger Federer,Switzerland,SUI,Florian Mayer,Germany,GER,11/06/2012,Halle,B,3,G,FAUX,89,R16,6-4 7-5,VRAI,11,
644,Ruben Bemelmans,Belgium,BEL,Daniel Brands,Germany,GER,15/10/2012,Vienna,B,3,H,VRAI,59,R32,6-7(5) 6-4 6-3,FAUX,11,
644,Ryan Harrison,United States,USA,Yen Hsun Lu,Taiwan, Province of China,TPE,25/06/2012,Wimbledon,G,5,G,FAUX,80,R128,4-6 6-3 6-4 6-2,VRAI,11,
644,Ryan Harrison,United States,USA,Potito Starace,Italy,ITA,21/03/2012,Miami Masters,M,3,H,FAUX,51,R128,6-7(6) 6-4 6-4,VRAI,11,
644,Ryan Harrison,United States,USA,Benjamin Becker,Germany,GER,27/08/2012,US Open,G,5,H,FAUX,60,R128,7-5 6-4 6-2,VRAI,11,
644,Sam Querrey,United States,USA,Jurgen Melzer,Austria,AUT,06/08/2012,Canada Masters,M,3,H,FAUX,60,R64,6-3 6-2,VRAI,11,
644,Sam Querrey,United States,USA,Rajeev Ram,United States,USA,23/07/2012,Los Angeles,B,3,H,FAUX,42,SF,6-3 7-6(4),VRAI,11,
